1,83,41,331,41,331,78,83,78,TAN WOON YANN,other
1,109,171,330,171,330,191,109,191,MR D.I.Y. (M) SDN BHD,company
1,122,190,325,190,325,213,122,213,(CO. RFG : 860671-D),other
1,47,208,391,208,391,233,47,233,LOT 1851-A & 1851-B, JALAN KPB 6,,address
1,62,235,381,235,381,254,62,254,KAWASAN PERINDUSTRIAN BALAKONG,,address
1,70,256,384,256,384,275,70,275,43300 SERI KEMBANGAN, SELANGOR,address
1,125,275,318,275,318,297,125,297,(TESCO PUTRA NILAI),other
1,177,295,266,295,266,317,177,317,-INVOICE-,other
1,12,337,402,337,402,362,12,362,KILAT AUTO ECO WASH & SHINE ES1000 1L,other
1,20,360,160,360,160,383,20,383,WA45 /2A - 12,other
1,16,382,156,382,156,402,16,402,9555916500133,other
1,245,380,260,380,260,402,245,402,1,other
1,265,385,288,385,288,400,265,400,X,other
1,300,382,347,382,347,404,300,404,3.11,other
1,371,385,419,385,419,404,371,404,3.11,other
1,15,402,394,402,394,424,15,424,KILAT' ECO AUTO WASH &WAX EW-1000-1L,other
1,16,424,134,424,134,446,16,446,WA44-A - 12,other
1,18,447,165,447,165,468,18,468,9555916500126,other
1,244,444,259,444,259,467,244,467,1,other
1,267,446,282,446,282,468,267,468,X,other
1,297,447,350,447,350,472,297,472,4.62,other
1,369,444,417,444,417,470,369,470,4.62,other
1,19,467,217,467,217,489,19,489,WD40 27ML MOO 2572,other
1,18,489,140,489,140,508,18,508,WA43-A - 24,other
1,19,510,152,510,152,531,19,531,079567600084,other
1,245,509,259,509,259,528,245,528,1,other
1,265,511,285,511,285,530,265,530,X,other
1,285,509,347,509,347,532,285,532,11.23,other
1,359,509,419,509,419,531,359,531,11.23,other
1,14,531,367,531,367,553,14,553,KLEENSO AJAIB 99 SERAI WANYI 900G,other
1,18,552,120,552,120,573,18,573,WDOO - 15,other
1,16,575,157,575,157,595,16,595,9555651400385,other
1,247,575,260,575,260,591,247,591,1,other
1,265,576,284,576,284,595,265,595,X,other
1,298,572,343,572,343,594,298,594,7.45,other
1,371,572,420,572,420,601,371,601,7.45,other
1,16,594,265,594,265,614,16,614,HANDKERCHIEF 71386#2PCS,other
1,15,618,213,618,213,636,15,636,PI12PJ11-4 - 6/300,other
1,15,638,101,638,101,661,15,661,9090822,other
1,245,636,260,636,260,659,245,659,1,other
1,263,637,284,637,284,657,263,657,X,other
1,295,636,344,636,344,661,295,661,4.50,other
1,371,637,420,637,420,659,371,659,4.50,other
1,13,678,140,678,140,705,13,705,ITEM (S) : 5,other
1,324,678,445,678,445,708,324,708,QTY(S) : 5,other
1,14,718,77,718,77,741,14,741,TOTAL,other
1,346,718,439,718,439,741,346,741,RM 30.91,total
1,15,742,218,742,218,761,15,761,ROUNDING ADJUSTMENT,other
1,355,740,435,740,435,762,355,762,RM 0.01,other
1,15,763,162,763,162,784,15,784,TOTAL ROUNDED,other
1,346,762,434,762,434,784,346,784,RM 30.90,other
1,18,783,72,783,72,804,18,804,CASH,other
1,347,783,437,783,437,806,347,806,RM 51.00,other
1,14,804,84,804,84,825,14,825,CHANGE,other
1,349,804,440,804,440,829,349,829,RM 20.10,other
1,18,848,271,848,271,870,18,870,18-11-18 13 : 58 SH01 ZI53,date
1,297,847,438,847,438,874,297,874,T2 R000002902,other
1,19,869,278,869,278,894,19,894,UPERATOR TRAINEE CASHIER,other
1,79,910,369,910,369,932,79,932,EXCHANGE ARE ALLOWED WITHIN,other
1,120,930,329,930,329,953,120,953,7 DAYS WITH RECEIPT.,other
1,98,949,352,949,352,974,98,974,STRICTLY NO CASH REFUND.,other
